ModelID,ATP6V1B2,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,DependencyGroup
ACH-002020,-0.8768435594030564,SKG-IIIa,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-002067,-2.40247005042991,NOS-1,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-002070,-2.490324663211725,HKBMM,CNS/Brain,Meningothelial Tumor,Meningioma,Non-immune
ACH-002083,-1.314926853494644,NB69,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002114,-2.046964521228116,EW-16,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002179,-1.378666218912877,OCUB-M,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-002212,-2.007925047156227,BB30-HNC,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Non-immune
ACH-002243,-2.4955313033266706,HCE-4,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-002261,-1.2079094600220484,KP-N-YS,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002304,-2.2546067990379006,SK-MG-1,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-002401,-1.429079930367264,21MT-2,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-002458,-3.246900401835636,HT144 SKIN FV1,Skin,Melanoma,Melanoma,Non-immune
ACH-002467,-2.2706292635016987,RPE1-ss51,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",Non-immune
ACH-002499,0.0310042724827495,UACC-3199,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-002531,-2.2238640481263894,SNU-2535,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-002533,-2.5253957188933565,SNU-482,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-002681,-2.027661403433314,538-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-002847,-2.871458444854716,YUHOIN,Skin,Melanoma,Melanoma,Non-immune
ACH-000023,-1.3229514052603144,PA-TU-8988T,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000028,-2.1910636813268014,KPL-1,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000047,-3.0226388035043104,GCIY,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000060,-1.9193258306898464,Panc 10.05,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000092,-2.789978899343537,NCI-H2452,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",Non-immune
ACH-000137,-1.08926368459505,8-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000145,-2.527176471848253,SK-LMS-1,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,Non-immune
ACH-000146,-2.242118961667028,THP-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000147,-2.0032254234474864,T-47D,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000204,-2.5712681258788037,LP-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000237,-2.342570631865879,JHOM-1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,Non-immune
ACH-000238,-1.624004294401645,SCC-4,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000276,-1.4293531820450958,HCC38,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000334,-2.673736039184598,DB,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000337,-2.9157291098735403,NCI-H3122,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000343,-0.8076374754969391,NCI-H522,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000352,0.0931467767941423,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000385,-3.077144039890739,SK-RC-52,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-000415,-1.4715276280265537,BICR 6,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,Non-immune
ACH-000436,-2.4560951406757847,OCI-My7,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000438,-3.2884375760523143,Lu-65,Lung,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,Non-immune
ACH-000461,-2.5176843950527843,SNU-1196,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,Non-immune
ACH-000469,-2.864749415101495,YH-13,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000477,-3.398691380462318,Malme-3M,Skin,Melanoma,Melanoma,Non-immune
ACH-000487,-1.8656944323589733,F-36P,Myeloid,Acute Myeloid Leukemia,"AML, NOS",Myeloid
ACH-000498,-2.472048283540136,KO52,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000499,-2.5266916660446306,EW8,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000521,-2.645700308064955,NCI-H2030,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000585,-2.452823772326916,EPLC-272H,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000601,-2.274503725804532,MIA PaCa-2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000630,-1.686294567307837,YD-8,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000649,-2.2739749764429997,786-O,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000655,-2.5489616106048096,SF268,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000682,-1.0167678603730546,SNU-1066,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Non-immune
ACH-000701,0.0785159421799219,RMUG-S,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,Non-immune
ACH-000736,-2.59401199256121,SNU-601,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Signet Ring Cell Carcinoma of the Stomach,Non-immune
ACH-000741,-2.9318829872715284,U-BLC1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000781,-2.832336546438553,NCI-H2023,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000792,-2.347627069397238,BFTC-909,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-000794,-2.093733853846418,BICR 22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000801,-1.9237695099128216,Hs 936.T,Skin,Melanoma,Melanoma,Non-immune
ACH-000810,-2.6532959362737847,SK-MEL-30,Skin,Melanoma,Cutaneous Melanoma,Non-immune
ACH-000822,-3.1786649683577872,SK-MEL-24,Skin,Melanoma,Melanoma,Non-immune
ACH-000835,-3.1598098538389903,GCT,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Non-immune
ACH-000855,-2.205750184267707,KYSE-150,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000874,-2.356131566957316,RS4;11,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000878,-1.9721639379772975,HCC-15,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000900,-1.6971192284326684,NCI-H23,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000905,-1.602452715728394,5637,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000977,-2.5232682799427195,LNCaP clone FGC,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,Non-immune
ACH-001065,-1.419776354104128,Evsa-T,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,Non-immune
ACH-001193,-2.7080430777254643,SK-PN-DW,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001232,-2.75998823104341,UW228,CNS/Brain,Embryonal Tumor,Medulloblastoma,Non-immune
ACH-001303,-2.279158148780859,NB-1643,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001307,-2.4068212736230774,8505C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Non-immune
ACH-001322,-2.5804574987473985,CME-1,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,Non-immune
ACH-001347,-1.9448398699381744,H157,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001382,-2.5096732140096805,PACADD-188,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-001385,-1.6837005994686454,RPMI 2650,Head and Neck,"Head and Neck Carcinoma, Other",NUT Midline Carcinoma of the Head and Neck,Non-immune
ACH-001414,-2.575921982419452,UM-UC-6,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-001431,-1.9626015234597165,TC-205,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001459,-2.5398793983030483,C80,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-001461,-2.0032401357285523,C99,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-001481,-2.22486339983502,CHLA-90,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001508,-2.0570193089606885,H314,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001520,-1.305533165385982,HG-3,Lymphoid,Non-Cancerous,"Transformed cell line, B lymphoblast",Lymphoid
ACH-001567,-3.381589702414195,MM383,Skin,Melanoma,Melanoma,Non-immune
ACH-001630,-2.5406473548408512,PEO1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-001647,-2.551037625577207,SHI-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-001683,-0.0572914628216931,ACC-3133,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,Non-immune
ACH-001793,-1.1896104399213765,LPS27,Soft Tissue,Liposarcoma,Liposarcoma,Non-immune
ACH-001814,-2.3272350082381688,OS252,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-001856,-2.358541223542152,RBE,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001961,-2.6197389142918457,MGH-GB2,Biliary Tract,Intracholecystic Papillary Neoplasm,Gallbladder Cancer,Non-immune
ACH-001975,-2.547414011860642,MM576,Skin,Melanoma,Melanoma,Non-immune
ACH-001982,-2.460816443924797,NZM3,Skin,Melanoma,Melanoma,Non-immune
ACH-002026,-2.2632591063489653,HHUA,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-002039,-2.359221758011621,PK-8,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-002109,-1.0332201490305133,ES8,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002278,-2.0895114103474826,NB10,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002280,-1.714516179991258,NB13,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002283,-1.240512245986762,NB5,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002294,-2.848441969797848,PCI-15A,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,Non-immune
ACH-002296,-1.7484560954968955,PCI-38,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-002297,-2.247452579730096,PCI-4B,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Non-immune
ACH-002460,-2.0899888611909336,HT144 SKIN FV2,Skin,Melanoma,Melanoma,Non-immune
ACH-002462,-0.6550777121881572,RPE1-ss48,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",Non-immune
ACH-002478,-2.562388785627156,BC-2,Lymphoid,Mature B-Cell Neoplasms,Primary Effusion Lymphoma,Lymphoid
ACH-002486,-1.3520625890941202,MES-OV,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-002510,-2.155597398383562,M040416,Skin,Melanoma,Acral Melanoma,Non-immune
ACH-002523,-2.6198683821798285,SNU-739,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-002535,-2.7811857260839696,SNU-254,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-002662,-2.265986509305727,JVE-207,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-002669,-1.7461854783673325,KP-363T,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-002677,-2.3961226382654752,U-2946,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-002678,-1.9783107737196453,WILL-1,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-002693,-2.798333306749586,S462,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,Non-immune
ACH-002834,-2.5560333634355765,OS384,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-002928,-2.511505987409625,MM100511,Skin,Melanoma,Acral Melanoma,Non-immune
ACH-000077,-1.6770276789606064,MJ,Lymphoid,Non-Hodgkin Lymphoma,Mature T and NK Neoplasms,Lymphoid
ACH-000101,-2.408084500673925,KE-37,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000111,-2.4442553299908503,HCC1187,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000144,-0.7914553473769743,RERF-GC-1B,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000148,-1.6935599850276373,Hs 578T,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",Non-immune
ACH-000160,-2.4420901586609216,BT-12,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,Non-immune
ACH-000191,-2.606874280628579,BHT-101,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Non-immune
ACH-000248,-0.0779405182737802,AU565,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000252,-2.295380546963059,LS1034,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000257,-2.2343913238136013,COR-L279,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000266,-2.629235395875927,SNU-213,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000290,-2.4334048886218227,NCI-H209,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000292,-1.38078289843776,NCI-H841,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,Non-immune
ACH-000319,-2.593184760937964,MPP 89,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-000348,-3.299558346346436,RPMI-7951,Skin,Melanoma,Melanoma,Non-immune
ACH-000359,-2.579970436617449,MG-63,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-000363,-2.400089110185636,SK-MM-2,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000414,-2.350586609642527,NCI-H1944,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000424,-1.7423939521407816,TC-71,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000426,-2.293529759027101,KMS-20,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000445,-2.018664110141952,KNS-60,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000446,-2.172332029518489,KP-N-SI9s,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000468,-2.4714954839967103,PK-45H,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000479,-2.4988461307033045,KNS-81,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000485,-1.6845092800256172,GSU,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000502,-1.7234883316071663,TCC-PAN2,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000505,-1.9035430492275291,RKN,Soft Tissue,Leiomyosarcoma,Leiomyosarcoma,Non-immune
ACH-000507,-2.412949963660929,KE-39,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000511,-1.6909463876839257,Calu-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000522,-3.0989494464187146,UM-UC-3,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000524,-1.0774802338666043,KURAMOCHI,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000528,-0.0613892110239082,ABC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000537,-2.441420483622241,SNU-761,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000569,-2.081898226313847,IST-MES1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-000581,-2.705201960992662,SNU-16,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000593,-2.3440530080059143,BC-3C,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000604,-2.8309426275356597,KYO-1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-000605,-1.7316316115029695,TE-6,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000608,-3.0796839040008885,COV644,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,Non-immune
ACH-000609,-1.764292205354593,SF126,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000634,-0.9356896382783452,LN-340,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000662,-2.702843431386901,COR-L23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000666,-2.949414254781637,NCI-H1355,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000681,-1.2810111987661963,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000685,-1.4435815780536696,L3.3,Pancreas,Adenosquamous Carcinoma of the Pancreas,Adenosquamous Carcinoma of the Pancreas,Non-immune
ACH-000697,-1.8872010087661,A3/KAW,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000714,-2.370934411918421,KMS-11,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000768,-2.687581448641308,MDA-MB-231,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000788,-2.613930583651661,A2058,Skin,Melanoma,Melanoma,Non-immune
ACH-000790,-2.6620264577021007,SHP-77,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000800,-2.0859672811306518,NCI-H446,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000826,-2.405380759839816,CAL-12T,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Non-immune
ACH-000845,-2.405811933063576,NCI-H1373,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000846,-1.9849770910275213,FaDu,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,Non-immune
ACH-000863,-2.4010460649862244,DBTRG-05MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000871,-0.9294236150093318,NCI-H510,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000873,-2.8792602244671115,KYSE-270,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000939,-1.187195056197642,SK-UT-1,Uterus,Uterine Sarcoma/Mesenchymal,Uterine Leiomyosarcoma,Non-immune
ACH-000961,-1.8648901506416893,Ishikawa (Heraklio) 02 ER-,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000971,-1.8695868257217585,HCT 116,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000985,-2.2429596933796647,LS411N,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001028,-3.008788498954492,CHLA-06-ATRT,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,Non-immune
ACH-001075,-1.504784431019185,NCI-H292,Lung,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,Non-immune
ACH-001096,-2.7575993263963663,JR,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,Non-immune
ACH-001126,-2.180008254681854,MOG-G-UVW,CNS/Brain,Diffuse Glioma,Anaplastic Astrocytoma,Non-immune
ACH-001227,-0.8493414973248872,UPCI-SCC-090,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001283,-2.589659089824313,TC-106,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001289,-2.330956509751974,COG-AR-359,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,Non-immune
ACH-001306,-2.878600670578809,8305C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Non-immune
ACH-001336,-2.047554857511066,Ca Ski,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001346,-2.782928800369418,H103,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001380,-2.3697921907237744,PACADD-165,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-001402,-2.0244764535168995,SW756,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001433,-1.8329944547208608,CCLF_PEDS_0008_T,Soft Tissue,Epithelioid Sarcoma,Epithelioid Sarcoma,Non-immune
ACH-001451,-2.3814278275670326,BOKU,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001453,-2.4342325161186467,BPH-1,Prostate,Non-Cancerous,"Hyperplasia, Prostate",Non-immune
ACH-001524,-0.8998225616198878,HSC-5,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,Non-immune
ACH-001628,-2.797514273149904,PEA1,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-001673,-2.9307668719542126,TFK-1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,Non-immune
ACH-001690,-1.449304061562127,UPCI-SCC-026,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001698,-1.8662390253640404,UPCI-SCC-116,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001834,-2.7216443697589776,MGH-ICC10,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001960,-2.042161813251416,CC-SW-1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001973,-2.223984752866629,MM485,Skin,Melanoma,Melanoma,Non-immune
ACH-002005,-1.801830792620404,SK-MEL-19,Skin,Melanoma,Cutaneous Melanoma,Non-immune
ACH-002015,-2.7439471853512045,Mel285,Eye,Ocular Melanoma,Uveal Melanoma,Non-immune
ACH-002016,-1.5807076869565553,Mel290,Eye,Ocular Melanoma,Uveal Melanoma,Non-immune
ACH-002027,-2.4245982344236063,HOUA-I,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-002084,-2.9338422794816648,MMAc,Skin,Melanoma,Melanoma,Non-immune
ACH-002140,-0.7877384633220241,Hey,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-002181,-1.8015789554054955,OVCA420,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-002189,-1.080318879412129,RCC-FG2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-002214,-1.9430834549576916,BC-1,Lymphoid,Mature B-Cell Neoplasms,Primary Effusion Lymphoma,Lymphoid
ACH-002228,-3.0853106151688445,D-423MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-002446,-2.131425330494915,CCLF_UPGI_0005_T,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-002688,-2.4008854023431083,OS457,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-002926,-2.628338324474209,UPMD1,Eye,Ocular Melanoma,Uveal Melanoma,Non-immune
