ModelID,ATP6V1B2,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,DependencyGroup
ACH-001495,-1.8051651303593872,EMTOKA,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Non-immune
ACH-001502,-2.4394571346338694,GCT-27,Testis,Non-Seminomatous Germ Cell Tumor,Teratoma,Non-immune
ACH-001523,-2.4840010359345563,HSC-1,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,Non-immune
ACH-001550,-1.8939427301440337,MCC13,Skin,Merkel Cell Carcinoma,Merkel Cell Carcinoma,Non-immune
ACH-001559,-2.4305034184706003,Mero-82,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-001560,-2.7355100441654074,Mero-83,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Biphasic Type",Non-immune
ACH-001606,-1.6716308601539245,no.11,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001623,-1.857834203885902,Onda 8,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001626,-1.7525715331975875,OSC-20,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001643,-2.3834941353407206,SCCH-196,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001645,-1.4225615427002616,SEKI,Skin,Melanoma,Melanoma,Non-immune
ACH-001648,-1.9563164713619337,Shmac 4,Prostate,Non-Cancerous,"Immortalized Epithelial Cells, Prostate",Non-immune
ACH-001688,-2.3712934365680667,UM-RC-7,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-001694,-2.537693745194626,UPCI-SCC-074,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001701,-1.2125845055705344,UPCI-SCC-200,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001702,-2.299416629855316,VA-ES-BJ,Soft Tissue,Epithelioid Sarcoma,Epithelioid Sarcoma,Non-immune
ACH-001715,-1.3485230342915249,CAL-72,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-001838,-2.710050912649318,MGH-ICC12,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-002041,-2.705768741600965,HOTHC,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Non-immune
ACH-002143,-1.8081056063782148,IST-MEL1,Skin,Melanoma,Melanoma,Non-immune
ACH-002160,-2.4720083724188253,MC-IXC,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002198,-0.7481671643963919,SCH,Other,Extra Gonadal Germ Cell Tumor,Extra Gonadal Germ Cell Tumor,Non-immune
ACH-002291,-3.179248133308524,NTERA-2 cl.D1,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,Non-immune
ACH-002400,-0.8662458005169293,21MT-1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-002465,-2.385653948286936,RPE1-ss119,Eye,Non-Cancerous,"Immortalized Epithelial Cells, Retinal",Non-immune
ACH-002475,-2.396677534225488,HAP1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-002508,-1.7659384734743575,WM3211,Skin,Melanoma,Acral Melanoma,Non-immune
ACH-002522,-2.451171067009565,SNU-2292,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-002524,-2.703579972829165,SNU-251,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,Non-immune
ACH-002544,-3.161198950094989,SNU-1750,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,Non-immune
ACH-003177,-2.500336229653211,NRH-UPS1,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Non-immune
ACH-000012,-1.9404250135044117,HCC-827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000039,-2.510691692031993,SK-N-MC,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000055,-2.188466865325596,D283 Med,CNS/Brain,Embryonal Tumor,Medulloblastoma,Non-immune
ACH-000070,-2.5018113413634526,697,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000085,-2.6127484944267074,T3M-4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000106,-1.4935260368801448,JVM-2,Lymphoid,Mature B-Cell Neoplasms,Mantle Cell Lymphoma,Lymphoid
ACH-000124,-1.861072977815209,OCI-LY-19,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000141,-1.9061294553421808,SNU-308,Biliary Tract,Intracholecystic Papillary Neoplasm,"Gallbladder Adenocarcinoma, NOS",Non-immune
ACH-000161,-2.130584548220234,COR-L105,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000187,-2.5397192388507577,COR-L311,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000202,-2.1631564661853986,COLO-320,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000222,-3.236322477650554,AsPC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000239,-2.302954597919102,HuG1-N,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,Non-immune
ACH-000249,-2.217275805080273,CL-11,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000253,-1.7773670431911972,COLO 201,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000280,-1.0237572590249513,SNU-840,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,"Brenner Tumor, Malignant",Non-immune
ACH-000291,-2.6793304193081906,OV-90,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-000302,-1.7521447826269618,SNU-1077,Uterus,Endometrial Carcinoma,Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor,Non-immune
ACH-000318,-2.447353135515083,TE-10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000323,0.1125976490493951,42-MG-BA,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000326,-3.233030634826214,JURL-MK1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-000329,-1.8910855213011477,CCF-STTG1,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000330,-0.2519575268986245,EFM-19,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000366,-2.1600960022166986,SK-N-DZ,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000377,-1.644678696607505,SNU-478,Ampulla of Vater,Ampullary Carcinoma,Ampullary Carcinoma,Non-immune
ACH-000406,-1.8031769449081057,U-937,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000430,-2.2187827139213727,TYK-nu,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000433,-2.0970889298359285,Caki-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000454,-1.539065295976921,HCC-95,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000456,-3.0368100259864392,B-CPAP,Thyroid,Poorly Differentiated Thyroid Cancer,Poorly Differentiated Thyroid Cancer,Non-immune
ACH-000464,-2.4379075777773647,CAS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000475,-2.6815509103498734,huH-1,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000484,-2.21113125223539,VMRC-RCW,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-000488,-1.7628041502573537,TE-11,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000554,-2.726048049571693,UACC-893,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,Non-immune
ACH-000565,-1.5658199939139532,RCM-1,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-000570,-1.790464518001831,YKG1,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000573,-2.215563976077114,MDA-MB-436,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",Non-immune
ACH-000602,-2.115006871434648,M-07e,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000606,-2.209560795685462,PE/CA-PJ34 (clone C12),Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000651,-1.94727491468376,SW 620,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000653,-2.503955250113288,JJN-3,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000672,-2.18511935400562,IA-LM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000677,-1.1356153508303646,SW 1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000693,-2.4130949136048168,KYSE-180,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000699,-2.834213083574239,HCC1395,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000766,-1.3013580754508012,NCI-H1648,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000771,-1.0288349624686155,BICR 56,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000866,-1.9906541459950824,NCI-H1048,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000903,-2.862695999887905,FTC-133,Thyroid,Well-Differentiated Thyroid Cancer,Follicular Thyroid Cancer,Non-immune
ACH-000920,-2.267507213024932,CML-T1,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-000938,-2.5837529853362016,NALM-6,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000958,-2.534512219795817,SW48,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000968,-2.972159136401181,COLO 792,Skin,Melanoma,Melanoma,Non-immune
ACH-000991,-3.23756907798613,SNU-81,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000995,-2.259959668952612,JURKAT,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000996,-2.171996180485774,HEC-251,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000997,-1.4452156036869157,HCT-15,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001033,-2.59159369670042,CHLA-57,CNS/Brain,Embryonal Tumor,Primitive Neuroectodermal Tumor,Non-immune
ACH-001163,-2.9051253664025496,CCLF_PEDS_0001_T,Kidney,Renal Cell Carcinoma,Renal Medullary Carcinoma,Non-immune
ACH-001164,-2.579600830716888,CCLF_PEDS_0003_T,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Non-immune
ACH-001188,-2.083413894166545,SH-SY5Y,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001270,-2.2831611038485127,1273/99,Soft Tissue,Synovial Sarcoma,Synovial Sarcoma,Non-immune
ACH-001353,-2.6986205911615,JOPACA-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
